network_element_id,region_id,date_id,hour,last_updated_ts,uptime_seconds,downtime_seconds,calls_attempted,calls_dropped,packets_sent,packets_lost,bandwidth_capacity_mb,bandwidth_used_mb,outage_minutes,repair_minutes,availability_percent,dropped_call_rate,latency_ms,latency_ms_p95,packet_loss_percent,bandwidth_utilization_percent,mttr_hours
5,5,2023-12-02,0,2023-12-02,86228,172,402,4,151968,151,1000,553,2.8666666666666667,135,99.8,1.17,43.3,49.5,0.1,55.31,2.26
6,6,2023-12-02,0,2023-12-02,86192,208,549,4,189217,131,1000,630,3.466666666666667,134,99.76,0.83,41.2,48.4,0.07,63.03,2.25
7,7,2023-12-02,0,2023-12-02,86245,155,753,7,134324,102,1000,674,2.5833333333333335,110,99.82,1.0,44.5,56.2,0.08,67.47,1.84
8,8,2023-12-02,0,2023-12-02,86225,175,551,4,125150,105,1000,755,2.9166666666666665,111,99.8,0.86,42.5,61.2,0.08,75.53,1.86
9,9,2023-12-02,0,2023-12-02,86207,193,1141,12,176128,182,1000,574,3.216666666666667,110,99.78,1.14,45.4,61.4,0.1,57.45,1.84
10,10,2023-12-02,0,2023-12-02,86290,110,1187,11,178029,63,1000,730,1.8333333333333333,124,99.87,0.99,56.5,67.7,0.04,73.08,2.07
1,1,2023-12-03,0,2023-12-03,86164,236,692,4,145560,136,1000,644,3.933333333333333,161,99.73,0.67,46.9,60.1,0.09,64.41,2.7
2,2,2023-12-03,0,2023-12-03,86220,180,651,7,88387,53,1000,798,3.0,125,99.79,1.15,42.5,61.3,0.06,79.86,2.1
3,3,2023-12-03,0,2023-12-03,86239,161,746,9,203344,154,1000,846,2.683333333333333,114,99.81,1.3,38.9,44.6,0.08,84.65,1.9
4,4,2023-12-03,0,2023-12-03,86110,290,772,7,137901,118,1000,603,4.833333333333333,132,99.67,1.02,47.0,61.8,0.09,60.38,2.22
5,5,2023-12-03,0,2023-12-03,86317,83,472,4,91442,51,1000,590,1.3833333333333333,136,99.9,0.88,43.6,53.4,0.06,59.01,2.28
6,6,2023-12-03,0,2023-12-03,86245,155,899,7,191475,119,1000,710,2.5833333333333335,112,99.82,0.8,49.9,57.1,0.06,71.09,1.88
7,7,2023-12-03,0,2023-12-03,86226,174,900,5,220559,220,1000,730,2.9,117,99.8,0.66,48.1,56.0,0.1,73.06,1.97
8,8,2023-12-03,0,2023-12-03,86214,186,725,8,136260,133,1000,625,3.1,149,99.79,1.18,41.3,47.9,0.1,62.55,2.49
9,9,2023-12-03,0,2023-12-03,86312,88,707,8,244617,258,1000,699,1.4666666666666666,93,99.9,1.2,51.1,67.8,0.11,69.96,1.56
10,10,2023-12-03,0,2023-12-03,86217,183,551,4,105742,89,1000,710,3.05,130,99.79,0.82,55.3,75.2,0.08,71.09,2.17
1,1,2023-12-04,0,2023-12-04,86317,83,496,4,156538,108,1000,812,1.3833333333333333,136,99.9,1.01,38.3,44.5,0.07,81.22,2.27
2,2,2023-12-04,0,2023-12-04,86312,88,1168,12,128076,112,1000,729,1.4666666666666666,85,99.9,1.06,39.3,47.3,0.09,72.97,1.42
3,3,2023-12-04,0,2023-12-04,86314,86,1006,12,203601,151,1000,740,1.4333333333333333,94,99.9,1.26,46.5,59.2,0.07,74.04,1.57
4,4,2023-12-04,0,2023-12-04,86180,220,887,6,128770,128,1000,507,3.6666666666666665,84,99.75,0.77,45.0,62.8,0.1,50.78,1.4
5,5,2023-12-04,0,2023-12-04,86362,38,888,5,236694,262,1000,878,0.6333333333333333,114,99.96,0.66,47.1,58.7,0.11,87.88,1.91
6,6,2023-12-04,0,2023-12-04,86317,83,838,9,132316,81,1000,651,1.3833333333333333,106,99.9,1.11,44.1,54.8,0.06,65.17,1.78
7,7,2023-12-04,0,2023-12-04,86319,81,877,9,140838,131,1000,796,1.35,116,99.91,1.09,45.3,57.8,0.09,79.6,1.95
8,8,2023-12-04,0,2023-12-04,86190,210,481,4,226662,235,1000,814,3.5,108,99.76,1.02,53.4,68.3,0.1,81.41,1.81
9,9,2023-12-04,0,2023-12-04,86342,58,1157,10,174786,192,1000,871,0.9666666666666667,127,99.93,0.92,45.5,52.1,0.11,87.12,2.13
10,10,2023-12-04,0,2023-12-04,86250,150,771,7,192459,158,1000,687,2.5,109,99.83,0.94,45.4,63.8,0.08,68.76,1.82
1,1,2023-12-05,0,2023-12-05,86260,140,430,5,113451,98,1000,742,2.3333333333333335,174,99.84,1.25,53.2,59.6,0.09,74.26,2.91
2,2,2023-12-05,0,2023-12-05,86252,148,793,9,215205,175,1000,867,2.466666666666667,83,99.83,1.24,40.7,50.8,0.08,86.78,1.39
3,3,2023-12-05,0,2023-12-05,86365,35,489,2,160645,109,1000,683,0.5833333333333334,152,99.96,0.51,57.2,66.7,0.07,68.39,2.54
4,4,2023-12-05,0,2023-12-05,86307,93,549,2,118884,125,1000,559,1.55,148,99.89,0.4,43.3,60.4,0.11,55.91,2.48
5,5,2023-12-05,0,2023-12-05,86342,58,1125,9,149197,79,1000,776,0.9666666666666667,154,99.93,0.88,31.9,46.2,0.05,77.6,2.57
6,6,2023-12-05,0,2023-12-05,86144,256,746,7,94724,51,1000,723,4.266666666666667,125,99.7,1.03,43.4,61.7,0.05,72.31,2.1
7,7,2023-12-05,0,2023-12-05,86368,32,568,6,177740,156,1000,619,0.5333333333333333,95,99.96,1.19,40.4,48.7,0.09,61.95,1.59
8,8,2023-12-05,0,2023-12-05,86222,178,1060,13,88546,41,1000,621,2.966666666666667,121,99.79,1.24,43.9,63.8,0.05,62.12,2.02
9,9,2023-12-05,0,2023-12-05,86233,167,889,7,200504,139,1000,694,2.783333333333333,128,99.81,0.86,38.8,51.6,0.07,69.43,2.14
10,10,2023-12-05,0,2023-12-05,86288,112,670,8,80058,73,1000,733,1.8666666666666667,135,99.87,1.2,40.3,57.0,0.09,73.33,2.26
1,1,2023-12-06,0,2023-12-06,86318,82,1050,13,164254,91,1000,683,1.3666666666666667,156,99.91,1.31,42.1,50.2,0.06,68.34,2.6
2,2,2023-12-06,0,2023-12-06,86138,262,468,2,162586,136,1000,615,4.366666666666666,97,99.7,0.62,49.2,57.7,0.08,61.54,1.63
3,3,2023-12-06,0,2023-12-06,86317,83,861,12,129785,99,1000,980,1.3833333333333333,115,99.9,1.45,38.2,47.0,0.08,98.0,1.92
4,4,2023-12-06,0,2023-12-06,86071,329,814,10,223537,173,1000,846,5.483333333333333,95,99.62,1.28,38.0,47.7,0.08,84.63,1.6
5,5,2023-12-06,0,2023-12-06,86197,203,859,10,124907,90,1000,643,3.3833333333333333,97,99.77,1.23,53.2,64.1,0.07,64.4,1.63
6,6,2023-12-06,0,2023-12-06,86166,234,821,9,219833,162,1000,603,3.9,84,99.73,1.15,39.3,55.5,0.07,60.33,1.4
7,7,2023-12-06,0,2023-12-06,86350,50,855,12,166264,153,1000,597,0.8333333333333334,88,99.94,1.41,43.7,52.5,0.09,59.79,1.47
8,8,2023-12-06,0,2023-12-06,86264,136,774,8,102216,86,1000,802,2.2666666666666666,153,99.84,1.1,45.7,61.2,0.08,80.25,2.55
9,9,2023-12-06,0,2023-12-06,86376,24,939,11,126729,152,1000,651,0.4,134,99.97,1.27,51.2,60.3,0.12,65.15,2.24
10,10,2023-12-06,0,2023-12-06,86217,183,1115,9,89933,79,1000,748,3.05,119,99.79,0.83,49.1,69.1,0.09,74.86,1.99
1,1,2023-12-07,0,2023-12-07,86224,176,453,4,179404,114,1000,605,2.933333333333333,104,99.8,1.0,45.9,51.9,0.06,60.59,1.75
2,2,2023-12-07,0,2023-12-07,86149,251,985,8,138138,93,1000,774,4.183333333333334,130,99.71,0.82,48.2,64.0,0.07,77.43,2.17
3,3,2023-12-07,0,2023-12-07,86076,324,618,6,225777,96,1000,542,5.4,123,99.63,0.98,41.8,48.3,0.04,54.29,2.05
4,4,2023-12-07,0,2023-12-07,86388,12,802,12,200335,109,1000,767,0.2,119,99.99,1.59,47.0,60.9,0.05,76.77,1.99
5,5,2023-12-07,0,2023-12-07,86183,217,700,2,138546,104,1000,598,3.6166666666666667,139,99.75,0.37,24.6,37.3,0.08,59.88,2.32
6,6,2023-12-07,0,2023-12-07,86246,154,616,4,96873,75,1000,814,2.566666666666667,144,99.82,0.75,61.9,73.6,0.08,81.49,2.41
7,7,2023-12-07,0,2023-12-07,86105,295,410,2,174604,180,1000,732,4.916666666666667,59,99.66,0.69,45.7,58.8,0.1,73.3,0.99
8,8,2023-12-07,0,2023-12-07,86161,239,896,11,192668,138,1000,726,3.9833333333333334,108,99.72,1.29,49.6,65.9,0.07,72.7,1.8
9,9,2023-12-07,0,2023-12-07,86160,240,458,3,118272,84,1000,640,4.0,99,99.72,0.66,50.6,67.9,0.07,64.06,1.66
10,10,2023-12-07,0,2023-12-07,86322,78,425,6,164478,153,1000,806,1.3,137,99.91,1.45,43.4,52.2,0.09,80.69,2.29
1,1,2023-12-08,0,2023-12-08,86224,176,1174,9,235484,162,1000,581,2.933333333333333,93,99.8,0.8,39.6,50.7,0.07,58.17,1.55
2,2,2023-12-08,0,2023-12-08,86344,56,403,3,154103,107,1000,768,0.9333333333333333,105,99.94,0.92,46.7,56.7,0.07,76.85,1.76
3,3,2023-12-08,0,2023-12-08,86288,112,990,10,127126,139,1000,823,1.8666666666666667,128,99.87,1.04,52.4,62.6,0.11,82.39,2.13
4,4,2023-12-08,0,2023-12-08,86300,100,892,10,176042,153,1000,467,1.6666666666666667,138,99.89,1.17,39.4,44.7,0.09,46.74,2.3
5,5,2023-12-08,0,2023-12-08,86119,281,872,9,122965,119,1000,705,4.683333333333334,104,99.68,1.11,48.4,58.5,0.1,70.56,1.75
6,6,2023-12-08,0,2023-12-08,86167,233,694,11,145058,123,1000,698,3.8833333333333333,166,99.73,1.62,36.6,46.1,0.09,69.84,2.77
7,7,2023-12-08,0,2023-12-08,86315,85,1116,15,142614,88,1000,673,1.4166666666666667,119,99.9,1.36,51.3,69.9,0.06,67.39,1.99
8,8,2023-12-08,0,2023-12-08,86169,231,570,7,187578,156,1000,589,3.85,129,99.73,1.4,41.5,49.8,0.08,58.96,2.16
9,9,2023-12-08,0,2023-12-08,86215,185,952,10,97308,77,1000,653,3.0833333333333335,134,99.79,1.09,44.9,64.4,0.08,65.37,2.23
10,10,2023-12-08,0,2023-12-08,86195,205,1102,10,248857,236,1000,681,3.4166666666666665,93,99.76,0.98,40.5,55.3,0.1,68.1,1.57
1,1,2023-12-09,0,2023-12-09,86250,150,791,3,206631,160,1000,750,2.5,150,99.83,0.49,34.0,39.3,0.08,75.01,2.5
2,2,2023-12-09,0,2023-12-09,86225,175,427,4,241551,142,1000,682,2.9166666666666665,176,99.8,1.01,51.5,63.9,0.06,68.29,2.94
3,3,2023-12-09,0,2023-12-09,86259,141,889,12,175566,154,1000,693,2.35,149,99.84,1.4,46.2,52.2,0.09,69.32,2.49
4,4,2023-12-09,0,2023-12-09,86269,131,1153,11,95199,62,1000,770,2.183333333333333,117,99.85,1.0,47.6,65.0,0.07,77.02,1.96
5,5,2023-12-09,0,2023-12-09,86173,227,1199,13,92876,101,1000,629,3.783333333333333,108,99.74,1.1,35.4,44.7,0.11,62.92,1.81
6,6,2023-12-09,0,2023-12-09,86143,257,580,7,237603,267,1000,588,4.283333333333333,140,99.7,1.29,45.4,58.5,0.11,58.83,2.34
7,7,2023-12-09,0,2023-12-09,86171,229,553,6,240462,154,1000,737,3.816666666666667,94,99.74,1.26,46.4,60.1,0.06,73.77,1.57
8,8,2023-12-09,0,2023-12-09,86169,231,720,7,155904,117,1000,682,3.85,140,99.73,1.1,48.3,60.8,0.08,68.24,2.34
9,9,2023-12-09,0,2023-12-09,86177,223,816,7,190779,189,1000,764,3.716666666666667,138,99.74,0.92,45.9,64.9,0.1,76.42,2.3
10,10,2023-12-09,0,2023-12-09,86232,168,533,4,111424,69,1000,699,2.8,127,99.81,0.89,52.1,58.5,0.06,69.93,2.13
1,1,2023-12-10,0,2023-12-10,86389,11,1170,8,195278,194,1000,619,0.18333333333333332,160,99.99,0.75,36.4,43.2,0.1,61.96,2.68
2,2,2023-12-10,0,2023-12-10,86180,220,918,7,171899,96,1000,572,3.6666666666666665,143,99.75,0.82,53.0,69.9,0.06,57.22,2.39
3,3,2023-12-10,0,2023-12-10,86232,168,1075,15,107028,58,1000,781,2.8,121,99.81,1.41,43.1,51.3,0.05,78.13,2.03
4,4,2023-12-10,0,2023-12-10,86237,163,702,7,230216,164,1000,768,2.716666666666667,117,99.81,1.0,33.0,39.4,0.07,76.87,1.95
5,5,2023-12-10,0,2023-12-10,86298,102,963,10,155224,115,1000,701,1.7,129,99.88,1.08,37.1,51.4,0.07,70.13,2.16
6,6,2023-12-10,0,2023-12-10,86179,221,744,7,231090,178,1000,757,3.683333333333333,99,99.75,0.98,37.1,45.9,0.08,75.76,1.65
7,7,2023-12-10,0,2023-12-10,86155,245,715,8,142924,125,1000,599,4.083333333333333,118,99.72,1.19,45.9,64.2,0.09,59.91,1.97
8,8,2023-12-10,0,2023-12-10,86212,188,588,5,105874,59,1000,711,3.1333333333333333,105,99.78,0.97,43.7,49.6,0.06,71.2,1.76
9,9,2023-12-10,0,2023-12-10,86121,279,796,7,101330,44,1000,825,4.65,115,99.68,1.0,36.8,48.8,0.04,82.57,1.93
10,10,2023-12-10,0,2023-12-10,86341,59,990,12,125339,69,1000,625,0.9833333333333333,96,99.93,1.24,50.1,63.0,0.06,62.56,1.61
1,1,2023-12-11,0,2023-12-11,86376,24,1123,6,225997,170,1000,583,0.4,164,99.97,0.57,48.6,66.8,0.08,58.32,2.74
2,2,2023-12-11,0,2023-12-11,86259,141,924,5,222400,147,1000,687,2.35,93,99.84,0.55,43.4,54.8,0.07,68.77,1.56
3,3,2023-12-11,0,2023-12-11,86219,181,705,8,188314,147,1000,536,3.0166666666666666,128,99.79,1.19,40.3,58.7,0.08,53.62,2.13
4,4,2023-12-11,0,2023-12-11,86118,282,741,4,191682,183,1000,655,4.7,123,99.67,0.67,51.8,71.3,0.1,65.59,2.05
5,5,2023-12-11,0,2023-12-11,86203,197,1105,10,90421,86,1000,601,3.283333333333333,139,99.77,0.92,44.8,56.4,0.1,60.14,2.33
6,6,2023-12-11,0,2023-12-11,86215,185,954,7,141903,110,1000,776,3.0833333333333335,103,99.79,0.82,38.5,52.9,0.08,77.65,1.72
7,7,2023-12-11,0,2023-12-11,86244,156,560,8,179029,142,1000,720,2.6,163,99.82,1.43,31.2,44.2,0.08,72.08,2.72
8,8,2023-12-11,0,2023-12-11,86072,328,910,7,184947,227,1000,661,5.466666666666667,102,99.62,0.87,36.0,41.7,0.12,66.16,1.71
9,9,2023-12-11,0,2023-12-11,86260,140,419,4,199790,167,1000,574,2.3333333333333335,130,99.84,1.17,42.5,62.1,0.08,57.41,2.17
10,10,2023-12-11,0,2023-12-11,86302,98,983,13,238631,234,1000,612,1.6333333333333333,96,99.89,1.33,48.1,58.5,0.1,61.23,1.61
1,1,2023-12-12,0,2023-12-12,86242,158,710,5,147211,111,1000,563,2.6333333333333333,140,99.82,0.81,50.6,67.9,0.08,56.34,2.34
2,2,2023-12-12,0,2023-12-12,86170,230,796,10,155790,89,1000,679,3.8333333333333335,84,99.73,1.38,57.8,70.3,0.06,67.95,1.41
3,3,2023-12-12,0,2023-12-12,86400,0,422,2,175904,208,1000,597,0.0,95,100.0,0.65,40.2,54.9,0.12,59.75,1.59
4,4,2023-12-12,0,2023-12-12,86150,250,909,10,135992,99,1000,583,4.166666666666667,123,99.71,1.11,42.3,60.9,0.07,58.33,2.07
5,5,2023-12-12,0,2023-12-12,86205,195,1035,12,191760,160,1000,606,3.25,102,99.78,1.22,41.4,47.8,0.08,60.64,1.71
6,6,2023-12-12,0,2023-12-12,86124,276,485,6,103589,74,1000,637,4.6,112,99.68,1.3,43.7,55.0,0.07,63.72,1.88
7,7,2023-12-12,0,2023-12-12,86324,76,413,4,86803,87,1000,663,1.2666666666666666,115,99.91,1.05,50.6,61.7,0.1,66.39,1.92
8,8,2023-12-12,0,2023-12-12,86380,20,626,5,103457,65,1000,592,0.3333333333333333,103,99.98,0.84,48.9,66.5,0.06,59.24,1.72
9,9,2023-12-12,0,2023-12-12,86204,196,778,7,194808,147,1000,609,3.2666666666666666,96,99.77,0.95,54.1,64.5,0.08,60.99,1.6
10,10,2023-12-12,0,2023-12-12,86241,159,1009,10,136372,104,1000,864,2.65,109,99.82,1.09,37.1,46.3,0.08,86.48,1.82
1,1,2023-12-13,0,2023-12-13,86269,131,681,7,146836,97,1000,548,2.183333333333333,151,99.85,1.1,37.5,52.4,0.07,54.84,2.53
2,2,2023-12-13,0,2023-12-13,86225,175,529,5,151835,101,1000,675,2.9166666666666665,114,99.8,1.06,50.7,60.7,0.07,67.53,1.91
3,3,2023-12-13,0,2023-12-13,86277,123,537,3,147034,124,1000,866,2.05,151,99.86,0.73,42.5,48.0,0.08,86.61,2.52
4,4,2023-12-13,0,2023-12-13,86132,268,1171,10,90240,57,1000,606,4.466666666666667,139,99.69,0.93,42.3,49.0,0.06,60.63,2.33
5,5,2023-12-13,0,2023-12-13,86198,202,977,11,161921,138,1000,751,3.3666666666666667,96,99.77,1.15,40.2,51.4,0.09,75.18,1.6
6,6,2023-12-13,0,2023-12-13,86228,172,860,11,205877,125,1000,571,2.8666666666666667,122,99.8,1.29,44.2,58.3,0.06,57.14,2.03
7,7,2023-12-13,0,2023-12-13,86160,240,1182,12,208952,225,1000,738,4.0,111,99.72,1.09,39.0,57.4,0.11,73.89,1.86
8,8,2023-12-13,0,2023-12-13,86400,0,999,7,110456,37,1000,938,0.0,112,100.0,0.73,45.9,54.5,0.03,93.85,1.88
9,9,2023-12-13,0,2023-12-13,86190,210,1014,7,124611,135,1000,765,3.5,104,99.76,0.76,46.8,64.4,0.11,76.51,1.74
10,10,2023-12-13,0,2023-12-13,86249,151,655,5,125755,79,1000,569,2.5166666666666666,137,99.83,0.79,54.5,62.0,0.06,57.0,2.3
1,1,2023-12-14,0,2023-12-14,86256,144,905,8,86659,46,1000,586,2.4,171,99.83,0.99,40.1,47.8,0.05,58.67,2.87
2,2,2023-12-14,0,2023-12-14,86164,236,594,4,232040,139,1000,706,3.933333333333333,131,99.73,0.7,51.6,57.4,0.06,70.64,2.19
3,3,2023-12-14,0,2023-12-14,86183,217,663,8,81928,72,1000,703,3.6166666666666667,125,99.75,1.24,49.0,59.1,0.09,70.37,2.09
4,4,2023-12-14,0,2023-12-14,86255,145,460,1,242577,120,1000,848,2.4166666666666665,155,99.83,0.43,46.5,59.6,0.05,84.81,2.6
5,5,2023-12-14,0,2023-12-14,86257,143,731,6,85470,80,1000,490,2.3833333333333333,94,99.83,0.93,47.2,60.0,0.09,49.03,1.58
6,6,2023-12-14,0,2023-12-14,86381,19,1183,11,143307,81,1000,772,0.31666666666666665,122,99.98,1.0,44.5,54.8,0.06,77.26,2.05
7,7,2023-12-14,0,2023-12-14,86218,182,1095,13,102485,87,1000,894,3.033333333333333,130,99.79,1.21,41.1,55.9,0.09,89.45,2.18
8,8,2023-12-14,0,2023-12-14,86302,98,773,6,179825,155,1000,705,1.6333333333333333,88,99.89,0.82,46.6,57.5,0.09,70.58,1.47
9,9,2023-12-14,0,2023-12-14,86233,167,475,2,132050,96,1000,888,2.783333333333333,104,99.81,0.43,45.5,51.9,0.07,88.89,1.74
10,10,2023-12-14,0,2023-12-14,86252,148,977,14,158429,87,1000,766,2.466666666666667,90,99.83,1.48,36.8,55.1,0.06,76.63,1.51
1,1,2023-12-15,0,2023-12-15,86335,65,800,8,141073,136,1000,721,1.0833333333333333,35,99.93,1.0,59.1,74.6,0.1,72.18,0.59
2,2,2023-12-15,0,2023-12-15,86291,109,901,4,170181,147,1000,776,1.8166666666666667,104,99.87,0.52,57.9,69.0,0.09,77.69,1.75
3,3,2023-12-15,0,2023-12-15,86201,199,1176,13,176239,166,1000,792,3.316666666666667,113,99.77,1.12,36.0,54.9,0.09,79.23,1.9
4,4,2023-12-15,0,2023-12-15,86168,232,1134,10,179037,137,1000,771,3.8666666666666667,142,99.73,0.93,45.0,53.3,0.08,77.13,2.37
5,5,2023-12-15,0,2023-12-15,86282,118,483,5,88004,62,1000,607,1.9666666666666666,97,99.86,1.21,46.4,59.6,0.07,60.76,1.62
6,6,2023-12-15,0,2023-12-15,86127,273,691,6,172860,122,1000,578,4.55,101,99.68,1.0,43.0,58.5,0.07,57.88,1.69
7,7,2023-12-15,0,2023-12-15,86233,167,1018,9,199784,138,1000,535,2.783333333333333,123,99.81,0.91,40.9,48.7,0.07,53.5,2.06
8,8,2023-12-15,0,2023-12-15,86064,336,1142,14,200978,182,1000,636,5.6,60,99.61,1.25,37.3,52.5,0.09,63.61,1.0
9,9,2023-12-15,0,2023-12-15,86192,208,531,5,170630,141,1000,625,3.466666666666667,100,99.76,1.04,46.5,56.8,0.08,62.5,1.67
10,10,2023-12-15,0,2023-12-15,86214,186,1179,14,184681,117,1000,601,3.1,128,99.79,1.23,41.1,52.1,0.06,60.14,2.14
1,1,2023-12-16,0,2023-12-16,86327,73,486,6,160016,122,1000,617,1.2166666666666666,116,99.92,1.42,58.1,71.0,0.08,61.75,1.94
2,2,2023-12-16,0,2023-12-16,86255,145,1129,9,222734,141,1000,728,2.4166666666666665,106,99.83,0.88,41.8,57.7,0.06,72.83,1.78
3,3,2023-12-16,0,2023-12-16,86208,192,548,4,235014,136,1000,704,3.2,85,99.78,0.77,36.2,55.8,0.06,70.46,1.43
4,4,2023-12-16,0,2023-12-16,86342,58,798,8,190854,168,1000,738,0.9666666666666667,116,99.93,1.01,37.8,43.1,0.09,73.87,1.95
5,5,2023-12-16,0,2023-12-16,86044,356,939,9,235161,147,1000,711,5.933333333333334,110,99.59,1.06,50.2,69.9,0.06,71.14,1.84
6,6,2023-12-16,0,2023-12-16,86243,157,757,9,158635,110,1000,807,2.6166666666666667,123,99.82,1.31,49.4,55.3,0.07,80.73,2.05
7,7,2023-12-16,0,2023-12-16,86093,307,927,9,182928,135,1000,682,5.116666666666666,107,99.65,1.01,42.3,49.0,0.07,68.29,1.79
8,8,2023-12-16,0,2023-12-16,86314,86,906,9,184706,210,1000,611,1.4333333333333333,171,99.9,1.06,48.5,67.0,0.11,61.14,2.85
9,9,2023-12-16,0,2023-12-16,86194,206,1059,11,213107,128,1000,593,3.433333333333333,116,99.76,1.04,44.6,57.7,0.06,59.3,1.94
10,10,2023-12-16,0,2023-12-16,86262,138,803,11,241996,301,1000,832,2.3,128,99.84,1.43,45.6,51.2,0.12,83.29,2.14
1,1,2023-12-17,0,2023-12-17,86191,209,809,8,237765,98,1000,613,3.4833333333333334,130,99.76,1.07,50.9,59.3,0.04,61.35,2.18
2,2,2023-12-17,0,2023-12-17,86290,110,795,9,169784,140,1000,618,1.8333333333333333,129,99.87,1.2,37.4,44.8,0.08,61.87,2.16
3,3,2023-12-17,0,2023-12-17,86400,0,574,7,167924,89,1000,816,0.0,72,100.0,1.29,57.7,76.5,0.05,81.63,1.21
4,4,2023-12-17,0,2023-12-17,86242,158,608,4,215998,187,1000,717,2.6333333333333333,116,99.82,0.71,51.0,65.0,0.09,71.76,1.95
5,5,2023-12-17,0,2023-12-17,86251,149,1156,9,116229,71,1000,662,2.4833333333333334,55,99.83,0.79,43.4,61.2,0.06,66.24,0.92
6,6,2023-12-17,0,2023-12-17,86102,298,1030,12,80141,56,1000,584,4.966666666666667,113,99.66,1.18,49.4,64.5,0.07,58.48,1.89
7,7,2023-12-17,0,2023-12-17,86116,284,941,7,90980,79,1000,849,4.733333333333333,112,99.67,0.77,51.2,63.4,0.09,84.94,1.87
8,8,2023-12-17,0,2023-12-17,86112,288,1179,9,137603,108,1000,612,4.8,125,99.67,0.79,35.0,41.7,0.08,61.21,2.09
9,9,2023-12-17,0,2023-12-17,86089,311,409,6,167898,102,1000,727,5.183333333333334,104,99.64,1.61,41.5,52.8,0.06,72.71,1.75
10,10,2023-12-17,0,2023-12-17,86194,206,510,5,148483,117,1000,734,3.433333333333333,146,99.76,1.12,45.5,50.9,0.08,73.43,2.44
1,1,2023-12-18,0,2023-12-18,86193,207,585,3,156260,130,1000,706,3.45,159,99.76,0.64,38.4,53.8,0.08,70.62,2.65
2,2,2023-12-18,0,2023-12-18,86166,234,796,4,219194,177,1000,685,3.9,114,99.73,0.57,39.6,49.4,0.08,68.51,1.91
3,3,2023-12-18,0,2023-12-18,86211,189,958,8,130181,97,1000,751,3.15,78,99.78,0.86,38.4,48.8,0.07,75.14,1.31
4,4,2023-12-18,0,2023-12-18,86276,124,674,9,169756,185,1000,510,2.066666666666667,121,99.86,1.35,58.7,64.1,0.11,51.09,2.03
5,5,2023-12-18,0,2023-12-18,86260,140,1189,13,134628,102,1000,662,2.3333333333333335,139,99.84,1.1,44.1,49.5,0.08,66.21,2.33
6,6,2023-12-18,0,2023-12-18,86400,0,1071,10,151261,124,1000,634,0.0,130,100.0,0.96,42.0,47.5,0.08,63.5,2.18
7,7,2023-12-18,0,2023-12-18,86260,140,682,4,161882,142,1000,674,2.3333333333333335,174,99.84,0.65,43.0,61.7,0.09,67.41,2.91
8,8,2023-12-18,0,2023-12-18,86323,77,789,6,101954,87,1000,489,1.2833333333333334,115,99.91,0.86,42.3,56.8,0.09,48.97,1.92
9,9,2023-12-18,0,2023-12-18,86166,234,1021,8,98056,89,1000,549,3.9,126,99.73,0.88,46.3,60.8,0.09,54.94,2.1
10,10,2023-12-18,0,2023-12-18,86275,125,1011,10,87064,68,1000,791,2.0833333333333335,102,99.86,1.0,35.7,41.9,0.08,79.17,1.71
1,1,2023-12-19,0,2023-12-19,86075,325,1061,12,186963,169,1000,635,5.416666666666667,137,99.62,1.17,43.8,63.7,0.09,63.58,2.29
2,2,2023-12-19,0,2023-12-19,86320,80,607,4,119504,179,1000,758,1.3333333333333333,115,99.91,0.78,45.4,58.3,0.15,75.86,1.92
3,3,2023-12-19,0,2023-12-19,86171,229,502,6,96401,79,1000,543,3.816666666666667,118,99.74,1.29,43.0,54.9,0.08,54.35,1.98
4,4,2023-12-19,0,2023-12-19,86271,129,903,10,167833,164,1000,815,2.15,136,99.85,1.11,52.3,59.7,0.1,81.57,2.27
5,5,2023-12-19,0,2023-12-19,86172,228,448,2,110604,116,1000,641,3.8,150,99.74,0.59,40.5,52.9,0.11,64.11,2.51
6,6,2023-12-19,0,2023-12-19,86300,100,954,13,159006,119,1000,578,1.6666666666666667,106,99.88,1.43,51.8,68.6,0.08,57.89,1.78
7,7,2023-12-19,0,2023-12-19,86308,92,818,6,80362,73,1000,715,1.5333333333333334,106,99.89,0.85,46.6,65.0,0.09,71.5,1.78
8,8,2023-12-19,0,2023-12-19,86297,103,761,8,98806,75,1000,665,1.7166666666666666,95,99.88,1.09,42.7,61.5,0.08,66.56,1.6
9,9,2023-12-19,0,2023-12-19,86314,86,832,7,125557,97,1000,717,1.4333333333333333,128,99.9,0.86,43.8,62.4,0.08,71.73,2.13
10,10,2023-12-19,0,2023-12-19,86302,98,797,7,147091,144,1000,483,1.6333333333333333,91,99.89,0.99,49.1,55.3,0.1,48.39,1.53
1,1,2023-12-20,0,2023-12-20,86335,65,523,8,229277,189,1000,530,1.0833333333333333,122,99.93,1.56,51.4,56.7,0.08,53.05,2.04
2,2,2023-12-20,0,2023-12-20,86195,205,888,12,153829,127,1000,662,3.4166666666666665,102,99.76,1.41,43.5,53.7,0.08,66.27,1.72
3,3,2023-12-20,0,2023-12-20,86166,234,1067,13,103068,101,1000,660,3.9,124,99.73,1.27,41.8,49.9,0.1,66.04,2.07
4,4,2023-12-20,0,2023-12-20,86277,123,452,3,222443,225,1000,711,2.05,152,99.86,0.8,47.4,62.2,0.1,71.18,2.55
